Item,Purpose,Quantity,Purchase / Reference Link
ESP32-WROOM-32 DevKit V1,Main microcontroller,1,https://thinkingrobot.in/products/esp32-wroom-32-devkit-v1-wi-fi-bluetooth-iot-board
HC-SR04 Ultrasonic Sensor,Obstacle distance detection,1,https://www.flipkart.com/r-d-new-hc-sr04-ultrasonic-sensor-distance-measurement-arduino-esp32-esp8266-compat-sound-recorder-circuit-electronic-hobby-kit/p/itm4d74947ed6687
Water Sensor Module,Water detection,1,https://robu.in/
Buzzer,Audible alert,1,https://robocraze.com/products/arduino-ek-innovation-kit
Vibration Motor,Vibration alert,1,https://robocraze.com/
Push Button,SOS emergency button,1,https://robocraze.com/products/arduino-ek-innovation-kit
NEO-6M GPS Module,GPS location tracking,1,https://robocraze.com/blogs/post/interfacing-gps-module-with-arduino
SIM800L GSM Module,SMS emergency alert,1,https://robocraze.com/products/sim-800l-gsm-gprs-module
SIM card with compatible cellular service,Cellular connection for SIM800L,1,
Battery / suitable power supply,Portable power,1,
Breadboard,Prototype assembly,1,https://robocraze.com/products/arduino-ek-innovation-kit
Jumper Wires,Circuit connections,1,https://robocraze.com/products/arduino-ek-innovation-kit
USB Cable,Programming ESP32,1,https://robocraze.com/products/arduino-ek-innovation-kit
